# Ebeam (keV) 	   Cross Section (x10^24)   
1245.914000 	 6.531898e-09 
1260.449000 	 1.230544e-09 
1273.291000 	 6.120678e-09 
1288.036000 	 3.851810e-09 
1302.944000 	 8.186020e-09 
1317.747000 	 1.807227e-08 
1334.114000 	 2.013870e-08 
1348.952000 	 4.870406e-09 
1364.002000 	 1.539631e-08 
1374.430000 	 2.233820e-08 
1385.216000 	 7.711018e-08 
1390.035000 	 3.925216e-08 
1399.308000 	 1.265527e-07 
1408.297000 	 1.580299e-07 
1417.636000 	 1.048794e-07 
1428.284000 	 1.380339e-07 
1439.173000 	 1.731645e-07 
1448.617000 	 2.499708e-07 
1458.031000 	 3.005246e-07 
1468.258000 	 3.945336e-07 
1488.529000 	 4.206386e-07 
1497.383000 	 4.671234e-07 
1507.705000 	 5.136120e-07 
1516.043000 	 4.773054e-07 
1526.708000 	 4.515782e-07 
1536.613000 	 4.730098e-07 
1545.265000 	 6.043736e-07 
1555.387000 	 5.389306e-07 
1563.537000 	 6.074916e-07 
1574.135000 	 4.670762e-07 
1582.949000 	 4.910862e-07 
1601.277000 	 5.241262e-07 
1610.002000 	 4.293412e-07 
1618.250000 	 4.898974e-07 
1628.379000 	 4.077968e-07 
1640.960000 	 3.857680e-07 
1649.969000 	 3.509132e-07 
1660.863000 	 3.458442e-07 
1670.476000 	 3.339410e-07 
1681.748000 	 3.398972e-07 
1692.289000 	 3.398364e-07 
1703.549000 	 3.733100e-07 
1713.402000 	 3.685850e-07 
1725.082000 	 4.149816e-07 
1737.259000 	 4.832132e-07 
1746.642000 	 5.778332e-07 
1767.319000 	 1.045382e-06 
1777.355000 	 1.408680e-06 
1784.411000 	 1.438105e-06 
1792.916000 	 1.577209e-06 
1801.629000 	 1.602493e-06 
1810.488000 	 1.702043e-06 
1827.825000 	 2.314610e-06 
1836.648000 	 2.364344e-06 
1845.327000 	 2.209680e-06 
1854.181000 	 2.304986e-06 
1863.180000 	 2.394740e-06 
1871.997000 	 2.681204e-06 
1880.746000 	 2.881300e-06 
1889.593000 	 3.114196e-06 
1898.723000 	 3.968826e-06 
1907.648000 	 4.154642e-06 
1916.448000 	 4.466548e-06 
1925.059000 	 5.001832e-06 
1932.203000 	 5.873052e-06 
1939.260000 	 6.470754e-06 
1946.518000 	 6.784148e-06 
1953.798000 	 6.879400e-06 
1960.863000 	 6.847756e-06 
1968.179000 	 6.315158e-06 
1975.449000 	 6.258116e-06 
1982.711000 	 6.160808e-06 
1989.736000 	 6.388224e-06 
1996.964000 	 8.050314e-06 
2004.164000 	 8.003594e-06 
2011.597000 	 7.723222e-06 
2019.004000 	 7.646232e-06 
2026.262000 	 6.980320e-06 
2033.604000 	 7.101126e-06 
2040.887000 	 7.107074e-06 
2048.263000 	 7.900222e-06 
2049.529000 	 7.425602e-06 
2055.745000 	 7.700166e-06 
2057.054000 	 8.045098e-06 
2060.658000 	 8.439860e-06 
2060.713000 	 8.116564e-06 
2062.608000 	 9.015244e-06 
2063.219000 	 1.072211e-05 
2064.327000 	 1.066955e-05 
2066.207000 	 1.103325e-05 
2070.451000 	 1.056253e-05 
2071.876000 	 1.170821e-05 
2077.124000 	 1.223314e-05 
2077.899000 	 1.191220e-05 
2085.483000 	 1.275783e-05 
2092.886000 	 1.358537e-05 
2100.341000 	 1.433550e-05 
2107.759000 	 1.515439e-05 
2115.354000 	 1.547403e-05 
2122.920000 	 1.581069e-05 
2126.775000 	 1.683550e-05 
2130.356000 	 1.597174e-05 
2138.082000 	 1.632537e-05 
2145.449000 	 1.617400e-05 
2153.171000 	 1.645568e-05 
2160.583000 	 1.786249e-05 
2169.913000 	 1.740144e-05 
2177.135000 	 1.962187e-05 
